timestamp_ms,voc,nox,mq135_voltage,mq3_voltage,sht40_temperature,sht40_humidity,bme688_temperature,bme688_humidity,bme688_pressure,bme688_gas_resistance,bme688_iaq,bme688_co2_equivalent,bme688_breath_voc_equivalent,scd40_co2,scd40_temperature,scd40_humidity,label,trial,session_id,elapsed_s
72000,91.668,0.755,0.587,0.349,22.953,53.744,23.454,50.162,993.129,16150.081,49.957,502.788,0.547,641.121,23.057,52.342,ar_limpo,0,ar_limpo_000,72.0
73000,106.092,1.654,0.59,0.342,23.144,54.446,23.363,49.518,993.949,16270.555,53.893,504.635,0.47,643.357,22.952,52.476,ar_limpo,0,ar_limpo_000,73.0
74000,92.748,1.346,0.58,0.353,23.121,54.762,23.533,49.295,993.588,15605.402,47.76,505.829,0.537,653.681,23.021,51.413,ar_limpo,0,ar_limpo_000,74.0
75000,89.385,1.122,0.6,0.345,22.899,54.233,23.346,50.79,993.896,15740.514,48.172,495.165,0.513,642.08,22.929,51.906,ar_limpo,0,ar_limpo_000,75.0
76000,103.749,1.287,0.588,0.343,22.864,54.601,23.423,49.333,994.126,15852.506,48.254,511.195,0.511,666.443,22.925,52.565,ar_limpo,0,ar_limpo_000,76.0
77000,107.273,0.0,0.579,0.373,23.062,54.779,23.381,49.348,994.103,15551.707,46.954,511.192,0.499,645.639,22.992,53.371,ar_limpo,0,ar_limpo_000,77.0
78000,108.282,0.69,0.605,0.349,23.059,54.707,23.325,50.401,993.616,15804.67,52.694,488.379,0.429,656.541,22.843,51.624,ar_limpo,0,ar_limpo_000,78.0
79000,97.075,0.462,0.563,0.36,23.023,54.527,23.442,50.76,993.359,16015.314,55.93,506.112,0.541,647.598,22.936,52.572,ar_limpo,0,ar_limpo_000,79.0
80000,105.23,0.979,0.573,0.324,23.012,54.654,23.389,50.335,994.41,16179.75,56.765,511.651,0.463,640.18,23.186,51.668,ar_limpo,0,ar_limpo_000,80.0
81000,99.647,1.698,0.606,0.349,23.019,54.182,23.327,49.817,993.997,15919.17,50.457,521.927,0.523,653.704,23.0,51.914,ar_limpo,0,ar_limpo_000,81.0
82000,109.864,0.603,0.578,0.334,23.007,55.06,23.474,50.599,994.332,16405.565,54.766,503.154,0.519,626.765,23.026,51.997,ar_limpo,0,ar_limpo_000,82.0
83000,86.492,0.827,0.594,0.331,23.103,55.237,23.382,49.929,994.415,15642.151,56.122,491.866,0.462,664.649,23.063,52.663,ar_limpo,0,ar_limpo_000,83.0
84000,108.368,1.151,0.561,0.343,23.016,54.991,23.236,50.522,994.866,16366.024,46.946,504.36,0.394,670.28,22.845,52.205,ar_limpo,0,ar_limpo_000,84.0
85000,109.301,1.517,0.585,0.329,22.992,54.866,23.429,50.494,994.331,16530.404,51.983,496.112,0.581,646.226,23.023,52.09,ar_limpo,0,ar_limpo_000,85.0
86000,81.654,1.111,0.584,0.347,22.989,54.358,23.407,50.751,993.911,15869.469,48.177,520.171,0.432,660.139,23.009,52.96,ar_limpo,0,ar_limpo_000,86.0
87000,110.49,0.965,0.557,0.371,23.117,54.448,23.46,49.6,993.612,15597.672,52.799,502.711,0.525,667.43,23.053,52.292,ar_limpo,0,ar_limpo_000,87.0
88000,105.994,0.574,0.579,0.332,22.928,54.954,23.485,51.029,993.457,16043.333,49.787,505.272,0.529,654.349,22.923,52.197,ar_limpo,0,ar_limpo_000,88.0
89000,107.139,0.795,0.61,0.346,22.949,55.148,23.379,49.316,993.987,16398.926,56.008,494.33,0.545,651.59,23.023,52.634,ar_limpo,0,ar_limpo_000,89.0
90000,106.817,1.062,0.566,0.333,22.995,55.162,23.44,50.391,994.49,15399.231,52.71,489.526,0.556,654.04,23.05,51.73,ar_limpo,0,ar_limpo_000,90.0
91000,102.261,0.253,0.596,0.345,22.793,55.531,23.534,49.562,994.606,15812.561,43.2,496.421,0.516,651.603,23.008,52.148,ar_limpo,0,ar_limpo_000,91.0
92000,101.732,0.914,0.571,0.346,22.972,54.849,23.312,49.729,994.041,16077.355,49.808,498.163,0.527,659.774,23.054,51.125,ar_limpo,0,ar_limpo_000,92.0
93000,96.357,1.282,0.588,0.36,23.025,54.573,23.498,49.32,994.493,15995.906,45.582,496.038,0.56,642.939,22.903,51.856,ar_limpo,0,ar_limpo_000,93.0
94000,93.455,0.5,0.587,0.362,22.956,55.262,23.369,49.95,994.062,16373.321,51.523,490.009,0.526,647.346,22.963,51.58,ar_limpo,0,ar_limpo_000,94.0
95000,99.79,0.976,0.574,0.329,22.863,55.064,23.414,51.092,993.911,16255.356,53.586,499.389,0.504,644.842,23.142,51.246,ar_limpo,0,ar_limpo_000,95.0
96000,99.683,1.554,0.578,0.341,23.019,55.263,23.445,50.141,994.375,16236.425,46.679,496.211,0.543,655.863,23.019,52.336,ar_limpo,0,ar_limpo_000,96.0
97000,107.617,0.657,0.562,0.333,23.149,54.473,23.381,49.907,994.516,15565.42,49.882,512.144,0.556,654.912,22.979,52.879,ar_limpo,0,ar_limpo_000,97.0
98000,86.624,1.392,0.588,0.359,23.021,55.103,23.474,49.423,993.377,16040.613,50.156,501.637,0.58,643.048,23.06,52.192,ar_limpo,0,ar_limpo_000,98.0
99000,118.932,0.439,0.572,0.343,23.106,54.59,23.533,50.799,994.433,16109.344,45.331,501.821,0.428,645.648,23.016,51.846,ar_limpo,0,ar_limpo_000,99.0
100000,107.606,0.948,0.557,0.334,22.898,54.842,23.5,50.253,994.17,15678.655,57.107,499.717,0.621,639.591,22.955,53.3,ar_limpo,0,ar_limpo_000,100.0
101000,91.4,1.167,0.575,0.338,23.173,54.498,23.472,50.552,993.494,15525.694,44.658,492.004,0.511,654.025,22.985,51.947,ar_limpo,0,ar_limpo_000,101.0
102000,107.792,1.307,0.586,0.341,23.062,55.091,23.34,49.712,994.614,16461.345,48.411,479.219,0.529,639.161,23.059,51.812,ar_limpo,0,ar_limpo_000,102.0
103000,117.837,1.045,0.594,0.332,22.774,55.068,23.421,50.36,993.723,15677.04,45.199,505.531,0.536,639.491,22.958,51.636,ar_limpo,0,ar_limpo_000,103.0
104000,84.838,1.08,0.593,0.347,22.886,54.901,23.509,51.065,994.135,15802.765,44.043,484.541,0.496,652.709,23.021,51.869,ar_limpo,0,ar_limpo_000,104.0
105000,87.654,0.369,0.582,0.338,23.104,54.271,23.535,49.667,994.112,16055.79,48.968,479.865,0.476,668.27,22.898,51.079,ar_limpo,0,ar_limpo_000,105.0
106000,98.249,0.835,0.561,0.339,22.962,54.794,23.413,50.353,994.194,16085.437,55.04,510.953,0.354,645.642,22.874,51.655,ar_limpo,0,ar_limpo_000,106.0
107000,106.169,0.92,0.574,0.37,22.88,54.953,23.444,50.012,993.418,15994.358,52.423,503.572,0.516,653.689,23.011,51.379,ar_limpo,0,ar_limpo_000,107.0
108000,97.527,1.172,0.533,0.361,23.027,54.458,23.34,49.898,994.207,15906.493,53.501,504.131,0.461,644.346,23.018,52.364,ar_limpo,0,ar_limpo_000,108.0
109000,105.44,0.961,0.582,0.35,23.066,54.507,23.448,49.074,994.226,16064.053,49.999,478.674,0.578,660.781,23.002,52.229,ar_limpo,0,ar_limpo_000,109.0
110000,92.485,1.205,0.603,0.332,23.215,54.782,23.466,49.587,994.195,15681.515,48.023,497.714,0.467,647.103,23.078,51.361,ar_limpo,0,ar_limpo_000,110.0
111000,90.434,1.019,0.572,0.335,23.011,54.718,23.427,49.98,993.899,15982.94,53.07,513.141,0.492,637.64,22.879,50.883,ar_limpo,0,ar_limpo_000,111.0
112000,90.592,0.659,0.579,0.322,23.114,55.532,23.5,49.744,994.122,15763.159,54.649,487.87,0.474,667.081,23.199,51.954,ar_limpo,0,ar_limpo_000,112.0
113000,96.686,0.0,0.606,0.355,22.849,55.436,23.449,49.823,993.721,16182.531,50.702,504.868,0.561,664.318,23.061,52.293,ar_limpo,0,ar_limpo_000,113.0
114000,89.775,0.554,0.592,0.36,23.041,55.42,23.356,50.282,993.506,16015.595,52.788,493.231,0.598,663.609,23.11,51.894,ar_limpo,0,ar_limpo_000,114.0
115000,88.888,0.721,0.588,0.346,23.058,55.075,23.353,50.467,994.676,15816.963,51.536,501.566,0.514,648.751,22.9,52.705,ar_limpo,0,ar_limpo_000,115.0
116000,91.651,0.652,0.59,0.353,22.936,54.671,23.387,49.782,994.323,15708.945,51.09,515.305,0.51,639.34,22.942,52.022,ar_limpo,0,ar_limpo_000,116.0
117000,95.006,1.494,0.552,0.375,22.838,54.979,23.313,50.41,993.613,15716.733,48.98,495.89,0.403,655.454,22.809,52.588,ar_limpo,0,ar_limpo_000,117.0
118000,97.359,1.381,0.571,0.338,23.052,54.708,23.276,49.956,993.311,15996.773,54.137,509.627,0.5,648.011,22.975,51.681,ar_limpo,0,ar_limpo_000,118.0
119000,102.841,0.937,0.574,0.354,22.839,55.978,23.45,49.303,994.058,15717.729,48.382,491.049,0.555,626.951,22.972,51.175,ar_limpo,0,ar_limpo_000,119.0
120000,99.836,0.873,0.559,0.372,23.125,54.718,23.442,49.926,994.122,16383.033,49.194,517.922,0.486,648.877,23.151,52.138,ar_limpo,0,ar_limpo_000,120.0
121000,83.744,1.09,0.561,0.325,22.925,55.163,23.311,49.299,993.81,16101.153,47.911,486.936,0.391,640.686,23.068,52.501,ar_limpo,0,ar_limpo_000,121.0
122000,106.318,0.93,0.582,0.369,22.931,55.182,23.25,50.341,993.774,15711.092,52.319,488.888,0.457,668.442,22.916,51.672,ar_limpo,0,ar_limpo_000,122.0
123000,94.534,1.314,0.552,0.369,22.981,54.842,23.328,49.927,994.735,16053.213,47.202,496.526,0.527,651.024,22.979,52.302,ar_limpo,0,ar_limpo_000,123.0
124000,102.889,0.569,0.551,0.358,23.149,54.59,23.389,50.677,994.87,16016.309,53.749,507.506,0.472,625.774,22.927,52.185,ar_limpo,0,ar_limpo_000,124.0
125000,103.354,0.799,0.567,0.326,22.866,54.939,23.274,49.992,993.601,15893.459,56.376,500.483,0.483,647.92,22.882,52.67,ar_limpo,0,ar_limpo_000,125.0
126000,106.783,0.787,0.583,0.34,23.032,54.329,23.421,50.751,994.223,15852.478,52.849,519.505,0.537,651.167,22.936,52.218,ar_limpo,0,ar_limpo_000,126.0
127000,115.378,0.193,0.595,0.352,23.121,54.936,23.227,50.996,993.42,16200.08,49.617,499.604,0.507,643.45,23.015,52.154,ar_limpo,0,ar_limpo_000,127.0
128000,106.413,1.05,0.585,0.37,22.928,55.035,23.438,50.518,993.968,16024.837,48.965,512.403,0.484,658.224,22.992,52.015,ar_limpo,0,ar_limpo_000,128.0
129000,90.216,1.023,0.58,0.328,22.941,54.773,23.278,49.391,994.735,15742.504,47.43,486.042,0.561,661.018,23.025,52.042,ar_limpo,0,ar_limpo_000,129.0
130000,96.065,0.886,0.57,0.36,23.055,55.456,23.564,50.354,994.317,16250.924,45.374,500.047,0.424,668.927,22.961,52.887,ar_limpo,0,ar_limpo_000,130.0
131000,108.492,0.779,0.555,0.333,23.083,54.839,23.281,49.888,994.846,16402.309,48.581,503.081,0.531,632.25,22.957,51.797,ar_limpo,0,ar_limpo_000,131.0
132000,103.232,0.796,0.559,0.355,22.949,54.386,23.302,49.889,994.726,15956.364,53.219,477.539,0.458,634.904,22.978,52.385,ar_limpo,0,ar_limpo_000,132.0
133000,95.628,0.502,0.594,0.339,23.022,54.668,23.441,49.808,994.398,16155.251,56.664,499.198,0.451,636.067,22.952,52.188,ar_limpo,0,ar_limpo_000,133.0
134000,94.289,1.608,0.583,0.335,22.963,54.681,23.414,49.487,994.641,15910.923,49.288,509.231,0.463,649.984,23.143,52.206,ar_limpo,0,ar_limpo_000,134.0
135000,102.351,0.809,0.565,0.376,22.987,55.949,23.345,50.627,993.897,16104.195,53.65,504.415,0.54,631.245,22.963,53.022,ar_limpo,0,ar_limpo_000,135.0
136000,98.167,1.127,0.578,0.341,22.88,54.429,23.535,49.96,993.406,15773.984,52.62,490.529,0.469,636.6,22.899,52.825,ar_limpo,0,ar_limpo_000,136.0
137000,98.873,0.871,0.571,0.361,23.005,55.146,23.411,49.821,993.76,15566.274,48.525,521.636,0.438,650.052,23.027,52.597,ar_limpo,0,ar_limpo_000,137.0
138000,121.266,0.841,0.567,0.366,23.017,56.003,23.458,49.666,993.902,16105.76,51.502,488.659,0.404,630.755,23.049,51.923,ar_limpo,0,ar_limpo_000,138.0
139000,85.321,0.78,0.551,0.346,22.931,54.721,23.393,50.091,994.03,16322.919,57.203,508.52,0.491,659.024,22.942,51.587,ar_limpo,0,ar_limpo_000,139.0
140000,93.03,1.117,0.599,0.383,23.106,55.349,23.345,50.038,994.272,15969.437,55.589,491.8,0.464,654.561,23.161,51.094,ar_limpo,0,ar_limpo_000,140.0
141000,93.232,1.515,0.57,0.381,22.934,55.536,23.393,50.23,993.482,15598.448,52.327,494.707,0.454,636.736,22.916,52.677,ar_limpo,0,ar_limpo_000,141.0
142000,92.619,0.783,0.61,0.344,23.0,55.184,23.376,49.656,994.639,16079.958,48.112,486.147,0.442,637.705,22.828,52.587,ar_limpo,0,ar_limpo_000,142.0
143000,100.817,1.215,0.559,0.343,22.981,55.038,23.383,49.378,994.546,16177.571,50.225,510.322,0.56,666.727,23.013,51.843,ar_limpo,0,ar_limpo_000,143.0
144000,96.162,1.356,0.569,0.336,23.044,55.262,23.451,49.575,994.15,16228.824,48.561,497.319,0.485,668.231,23.072,51.33,ar_limpo,0,ar_limpo_000,144.0
145000,87.834,1.26,0.577,0.358,23.021,55.505,23.27,49.726,994.125,16058.617,47.156,494.728,0.471,650.536,23.056,51.862,ar_limpo,0,ar_limpo_000,145.0
146000,98.776,0.162,0.564,0.378,22.863,55.682,23.376,49.018,994.729,16321.017,48.49,508.673,0.482,650.611,23.013,51.884,ar_limpo,0,ar_limpo_000,146.0
147000,104.195,1.154,0.572,0.354,22.958,55.067,23.36,50.049,994.8,15836.527,45.611,515.941,0.515,642.193,22.98,51.543,ar_limpo,0,ar_limpo_000,147.0
148000,107.503,1.285,0.589,0.353,22.836,54.407,23.423,48.673,993.96,15743.672,51.9,498.034,0.553,654.052,23.009,51.513,ar_limpo,0,ar_limpo_000,148.0
149000,105.022,1.952,0.554,0.335,23.133,55.256,23.376,50.391,994.166,15836.845,47.995,508.553,0.517,662.932,23.052,51.693,ar_limpo,0,ar_limpo_000,149.0
150000,112.193,0.631,0.573,0.338,22.888,55.311,23.316,49.658,994.471,16216.303,48.136,486.92,0.495,630.826,22.919,51.806,ar_limpo,0,ar_limpo_000,150.0
151000,98.735,0.778,0.578,0.371,23.05,55.69,23.472,50.116,993.393,15665.978,49.938,495.914,0.453,654.916,23.098,51.966,ar_limpo,0,ar_limpo_000,151.0
